ID	X	Y	landcover
200	62.5625	45.6875	19
201	62.6875	45.6875	19
202	62.8125	45.6875	19
203	62.9375	45.6875	19
204	63.0625	45.6875	19
205	63.1875	45.6875	19
206	63.3125	45.6875	19
207	63.4375	45.6875	19
208	63.5625	45.6875	19
209	63.6875	45.6875	19
210	63.8125	45.6875	21
211	63.9375	45.6875	21
212	64.0625	45.6875	21
213	64.1875	45.6875	21
214	64.3125	45.6875	19
215	64.4375	45.6875	19
216	64.5625	45.6875	21
217	64.6875	45.6875	21
218	64.8125	45.6875	21
219	64.9375	45.6875	21
220	65.0625	45.6875	21
221	65.1875	45.6875	21
222	65.3125	45.6875	19
223	65.5625	45.6875	19
224	65.6875	45.6875	19
225	66.3125	45.6875	19
226	66.4375	45.6875	19
227	66.5625	45.6875	19
228	61.6875	45.5625	19
229	61.8125	45.5625	9
230	61.9375	45.5625	9
231	62.5625	45.5625	19
232	62.6875	45.5625	19
233	62.8125	45.5625	19
234	62.9375	45.5625	19
235	63.0625	45.5625	19
236	63.1875	45.5625	19
237	63.3125	45.5625	19
238	63.4375	45.5625	19
239	63.5625	45.5625	19
240	63.6875	45.5625	19
241	63.8125	45.5625	19
242	63.9375	45.5625	19
243	64.0625	45.5625	19
244	64.1875	45.5625	19
245	64.3125	45.5625	19
246	64.4375	45.5625	19
247	64.5625	45.5625	21
248	64.6875	45.5625	21
249	64.8125	45.5625	21
250	64.9375	45.5625	21
251	65.0625	45.5625	21
252	65.1875	45.5625	21
253	65.3125	45.5625	21
254	65.4375	45.5625	21
255	65.5625	45.5625	19
256	65.6875	45.5625	19
257	65.8125	45.5625	19
258	66.0625	45.5625	19
259	66.1875	45.5625	19
260	66.3125	45.5625	19
261	66.4375	45.5625	19
262	66.5625	45.5625	19
263	62.9375	45.4375	19
264	63.0625	45.4375	19
265	63.8125	45.4375	19
266	63.9375	45.4375	21
267	64.0625	45.4375	19
268	64.1875	45.4375	19
269	64.3125	45.4375	19
270	64.4375	45.4375	18
271	64.5625	45.4375	19
272	64.6875	45.4375	21
273	64.8125	45.4375	21
274	64.9375	45.4375	21
275	65.0625	45.4375	21
276	65.1875	45.4375	21
277	65.3125	45.4375	21
278	65.4375	45.4375	21
279	65.5625	45.4375	21
280	65.6875	45.4375	21
281	65.8125	45.4375	21
282	65.9375	45.4375	21
283	66.0625	45.4375	19
284	66.1875	45.4375	19
285	66.3125	45.4375	19
286	66.4375	45.4375	19
287	66.5625	45.4375	19
288	66.6875	45.4375	19
289	63.8125	45.3125	21
290	63.9375	45.3125	19
291	64.0625	45.3125	9
292	64.1875	45.3125	9
293	64.3125	45.3125	19
294	64.4375	45.3125	18
295	64.5625	45.3125	18
296	64.6875	45.3125	19
297	64.8125	45.3125	19
298	64.9375	45.3125	19
299	65.0625	45.3125	18
300	65.1875	45.3125	18
301	65.3125	45.3125	21
302	65.4375	45.3125	21
303	65.5625	45.3125	21
304	65.6875	45.3125	21
305	65.8125	45.3125	21
306	65.9375	45.3125	21
307	66.0625	45.3125	21
308	66.1875	45.3125	21
309	66.3125	45.3125	21
310	66.4375	45.3125	19
